,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,1980-03-17,14.100550040644231,-13832.214560872844,14508.014333141231,14.100550040644231,14.100550040644231,752.3962908680663,752.3962908680663,752.3962908680663,-134.37417116326685,-134.37417116326685,-134.37417116326685,886.7704620313332,886.7704620313332,886.7704620313332,0.0,0.0,0.0,766.4968409087105
1,1980-03-18,15.000553820179201,-13050.16462267868,15563.475296758594,15.0005538201792,15.0005538201792,770.0933001944464,770.0933001944464,770.0933001944464,-47.74431467322675,-47.74431467322675,-47.74431467322675,817.8376148676731,817.8376148676731,817.8376148676731,0.0,0.0,0.0,785.0938540146257
2,1980-03-19,15.90055759971417,-12442.080636321025,15848.570255624589,15.90055759971417,15.90055759971417,695.3635542146152,695.3635542146152,695.3635542146152,-53.78780352772475,-53.78780352772475,-53.78780352772475,749.1513577423399,749.1513577423399,749.1513577423399,0.0,0.0,0.0,711.2641118143293
3,1980-03-20,16.80056137924914,-13782.614876694077,14971.828502566561,16.80056137924914,16.80056137924914,616.5382979633135,616.5382979633135,616.5382979633135,-65.05893416184529,-65.05893416184529,-65.05893416184529,681.5972321251589,681.5972321251589,681.5972321251589,0.0,0.0,0.0,633.3388593425627
4,1980-03-21,17.70056515878411,-13922.197149187712,14520.829995715172,17.70056515878411,17.70056515878411,640.6917657567607,640.6917657567607,640.6917657567607,24.62501727707137,24.62501727707137,24.62501727707137,616.0667484796893,616.0667484796893,616.0667484796893,0.0,0.0,0.0,658.3923309155448
5,1980-03-24,20.400576497389018,-13208.333793502805,14804.221227296264,20.400576497389018,20.400576497389018,305.9657018776057,305.9657018776057,305.9657018776057,-134.3741711632928,-134.3741711632928,-134.3741711632928,440.33987304089845,440.33987304089845,440.33987304089845,0.0,0.0,0.0,326.3662783749947
6,1980-03-25,21.300580276923984,-15035.404664431515,14586.867579488959,21.300580276923984,21.300580276923984,343.7233232859115,343.7233232859115,343.7233232859115,-47.74431467328854,-47.74431467328854,-47.74431467328854,391.46763795920003,391.46763795920003,391.46763795920003,0.0,0.0,0.0,365.02390356283547
7,1980-03-26,22.200584056458958,-13772.001870289147,14896.162175838603,22.200584056458958,22.200584056458958,294.9073520111448,294.9073520111448,294.9073520111448,-53.78780352773267,-53.78780352773267,-53.78780352773267,348.69515553887743,348.69515553887743,348.69515553887743,0.0,0.0,0.0,317.10793606760376
8,1980-03-27,23.100587835993924,-14554.827671491203,14318.424012835703,23.100587835993924,23.100587835993924,247.6098149413883,247.6098149413883,247.6098149413883,-65.05893416184246,-65.05893416184246,-65.05893416184246,312.66874910323077,312.66874910323077,312.66874910323077,0.0,0.0,0.0,270.7104027773822
9,1980-03-28,24.000591615528894,-14662.891022160999,14589.377677017905,24.000591615528894,24.000591615528894,308.5748871717502,308.5748871717502,308.5748871717502,24.625017277180245,24.625017277180245,24.625017277180245,283.94986989457,283.94986989457,283.94986989457,0.0,0.0,0.0,332.5754787872791
